AvgGrayLvl,AvgContrst,Smoothness,ThrdMoment,Uniformity,Entropy
210.2057143,49.60196023,0.036457606,-2.791478662,0.034074629,6.590523459
207.4213836,51.95383734,0.039855785,-3.088208534,0.031698321,6.680568387
226.7818847,31.12442498,0.014679119,-1.006119488,0.020560185,6.167710504
223.5648148,32.74024399,0.01621745,-1.084819017,0.018019406,6.336708926
223.5899504,32.59105674,0.016072361,-0.986342139,0.017933141,6.336359926
225.4193548,31.18408295,0.014734616,-0.970905656,0.019267734,6.229057828
223.0974702,34.21127385,0.017681154,-1.197116798,0.018273611,6.353975074
212.7045803,37.89425872,0.021606286,-1.212594302,0.014589268,6.742711874
211.0445445,38.45986886,0.022241638,-1.226409626,0.013820627,6.793395837
210.8658436,38.49956317,0.022286549,-1.158948148,0.014362267,6.786421297
199.4109402,38.31399758,0.022076959,-0.499448091,0.009367171,7.031396357
212.5955096,37.68971007,0.021378633,-1.194136633,0.01431722,6.748681369
210.1861852,40.28686224,0.024352276,-1.397786999,0.01434398,6.815052495
224.4222783,32.67506205,0.016153983,-1.033340906,0.021103508,6.289589271
221.4080688,34.16535664,0.01763456,-1.100830581,0.019051258,6.421495647
222.0384532,33.43589683,0.016902165,-0.991711786,0.01898586,6.402151718
222.464203,33.30563184,0.016772926,-1.029823206,0.019336779,6.377192936
221.5639149,34.53036109,0.018006548,-1.143078706,0.018826716,6.418006604
203.3233831,41.64146278,0.025974193,-0.987599973,0.015581903,6.912831893
199.8867857,43.43635647,0.02819711,-1.068537184,0.014530896,6.991332429
199.5875969,43.67287667,0.02849625,-1.049042349,0.014734643,6.992338933
201.8052334,42.42501245,0.026934304,-0.98765526,0.014771605,6.954622872
201.532426,42.47244402,0.026992937,-1.014180499,0.014431108,6.967482769
